u,v,key,osmid,highway,name,oneway,reversed,length,lanes,bridge,maxspeed,tunnel,service,access,width,geometry
5674347104,8274491081,0,1314119687,footway,,False,True,9.462167080154472,,,,,,,,"LINESTRING (105.8327377 21.0059917, 105.8328288 21.0059888)"
5683715138,7920618646,0,596710657,service,,False,True,32.64636804984446,,,,,,,,"LINESTRING (105.822756 21.0047772, 105.8224636 21.0048853)"
5683715139,7920618646,0,596710657,service,,False,False,11.86757608658651,,,,,,,,"LINESTRING (105.8223585 21.0049273, 105.8224636 21.0048853)"
5683715139,6659134178,0,708658353,primary,Phố Tây Sơn,True,False,68.98059020677825,4,,,,,,,"LINESTRING (105.8223585 21.0049273, 105.8226298 21.0054936)"
5683715140,5683715141,0,596710659,service,,False,True,44.582325286270844,,,,,,,,"LINESTRING (105.8227546 21.0043916, 105.822385 21.0041874)"
5683715141,5683715140,0,596710659,service,,False,False,44.582325286270844,,,,,,,,"LINESTRING (105.822385 21.0041874, 105.8227546 21.0043916)"
5683715141,9579908710,0,1040439708,service,,False,True,5.026594839339532,,,,,,,,"LINESTRING (105.822385 21.0041874, 105.8224263 21.0041638)"
5683715141,5683715142,0,1216451391,service,,False,True,11.183234432970115,,,,,,,,"LINESTRING (105.822385 21.0041874, 105.8223295 21.0042736)"
5683715142,5683715141,0,1216451391,service,,False,False,11.183234432970115,,,,,,,,"LINESTRING (105.8223295 21.0042736, 105.822385 21.0041874)"
5683715142,7920618645,0,1216451391,service,,False,True,25.395956758316277,,,,,,,,"LINESTRING (105.8223295 21.0042736, 105.8221344 21.0044114)"
5683715143,6405942896,0,848915395,primary,Đường Trường Chinh,True,False,40.125109187510965,4,,,,,,,"LINESTRING (105.821931 21.0027599, 105.8215609 21.002864)"
5683715144,9579945953,0,596710662,service,Ngõ 592 Trường Chinh,False,False,19.22694381998023,,,,,alley,,,"LINESTRING (105.8229364 21.0042484, 105.8228493 21.0040958)"
5683715147,7056058599,0,596710664,service,Ngõ 554 Trường Chinh,False,False,13.323034458770904,,,,,alley,,,"LINESTRING (105.8230388 21.0030498, 105.8229146 21.0030196)"
5683715147,5683715148,0,596710664,service,Ngõ 554 Trường Chinh,False,True,19.18823075801567,,,,,alley,,,"LINESTRING (105.8230388 21.0030498, 105.8231479 21.0031891)"
5683715148,5683715147,0,596710664,service,Ngõ 554 Trường Chinh,False,False,19.18823075801567,,,,,alley,,,"LINESTRING (105.8231479 21.0031891, 105.8230388 21.0030498)"
5683715148,5683715149,0,596710664,service,Ngõ 554 Trường Chinh,False,True,10.113810004779411,,,,,alley,,,"LINESTRING (105.8231479 21.0031891, 105.8231717 21.0032773)"
5683715148,8277275765,0,890573938,service,,False,False,19.598140563159436,,,,,,,,"LINESTRING (105.8231479 21.0031891, 105.8233056 21.0030922)"
5683715149,5683715148,0,596710664,service,Ngõ 554 Trường Chinh,False,False,10.113810004779411,,,,,alley,,,"LINESTRING (105.8231717 21.0032773, 105.8231479 21.0031891)"
5683715149,8277275835,0,596710664,service,Ngõ 554 Trường Chinh,False,True,53.93778759231402,,,,,alley,,,"LINESTRING (105.8231717 21.0032773, 105.8234437 21.0036906)"
5683715150,8277275823,0,596710664,service,Ngõ 554 Trường Chinh,False,False,4.569394010026604,,,,,alley,,,"LINESTRING (105.8235124 21.0038357, 105.8234906 21.0038)"
5683715150,5683715151,0,596710664,service,Ngõ 554 Trường Chinh,False,True,104.7652377192949,,,,,alley,,,"LINESTRING (105.8235124 21.0038357, 105.824006 21.0046575)"
5683715151,5683715150,0,596710664,service,Ngõ 554 Trường Chinh,False,False,104.7652377192949,,,,,alley,,,"LINESTRING (105.824006 21.0046575, 105.8235124 21.0038357)"
5683715151,5721705547,0,758646983,service,Ngõ 554 Đường Trường Chinh,False,True,29.655660446529367,,,,,alley,,,"LINESTRING (105.824006 21.0046575, 105.8242213 21.0044822)"
5683715151,8277275826,0,890573964,service,,False,True,34.451520531792376,,,,,alley,,,"LINESTRING (105.824006 21.0046575, 105.82369 21.0047522)"
5683715152,7887543803,0,597543672,service,,False,False,10.50493963322113,,,,,,,,"LINESTRING (105.8226959 21.0056371, 105.8227806 21.0055854)"
5683715152,6659134175,0,1204912790,primary,Phố Tây Sơn,True,False,23.387284795678966,4,,,,,,,"LINESTRING (105.8226959 21.0056371, 105.8227842 21.0058306)"
5683715153,8277275809,0,890573958,service,,False,False,14.696379760973684,,,,,,,,"LINESTRING (105.8254724 21.0052687, 105.8254152 21.0051478)"
5683715153,1494035416,0,1204912791,residential,Phố Khương Thượng,False,False,14.079894451888721,,,,,,,,"LINESTRING (105.8254724 21.0052687, 105.8255933 21.0052113)"
