id,u,v,length,name,geometry
536,230,231,21.807275293971152,Phố Lương Định Của,"LINESTRING (105.8357381 21.0044608, 105.8356848 21.0046505)"
537,230,228,19.932951918553208,Phố Lương Định Của,"LINESTRING (105.8357381 21.0044608, 105.8357868 21.0042874)"
538,231,1902,5.815604484559779,,"LINESTRING (105.8356848 21.0046505, 105.8357392 21.004663)"
539,231,140,18.36179984834379,Phố Lương Định Của,"LINESTRING (105.8356848 21.0046505, 105.835639 21.00481)"
540,231,230,21.807275293971152,Phố Lương Định Của,"LINESTRING (105.8356848 21.0046505, 105.8357381 21.0044608)"
541,232,1186,6.774037091288442,Ngõ 28 Lương Đình Của,"LINESTRING (105.8338366 21.0047811, 105.8338972 21.0048037)"
542,232,3265,5.2572809119960215,Ngõ 19 Đông Tác,"LINESTRING (105.8338366 21.0047811, 105.8337951 21.0048082)"
543,232,1163,15.535120620813013,Ngõ 19 Đông Tác,"LINESTRING (105.8338366 21.0047811, 105.8338675 21.0046444)"
544,233,849,71.41377591477485,,"LINESTRING (105.8364345 21.0048192, 105.8357656 21.0046691)"
545,234,1885,6.941747618024761,Ngõ 28 Lương Đình Của,"LINESTRING (105.8355193 21.0052226, 105.8354556 21.0052036)"
546,234,466,10.426912689517488,Phố Lương Định Của,"LINESTRING (105.8355193 21.0052226, 105.835493 21.0053131)"
547,234,1188,28.823173208580503,Phố Lương Định Của,"LINESTRING (105.8355193 21.0052226, 105.8355961 21.0049735)"
548,235,1899,6.651479707971206,,"LINESTRING (105.8353592 21.0057675, 105.8354201 21.0057861)"
549,235,835,29.676404431809463,Phố Lương Định Của,"LINESTRING (105.8353592 21.0057675, 105.8352738 21.0060222)"
550,235,3156,29.76879472920457,Phố Lương Định Của,"LINESTRING (105.8353592 21.0057675, 105.835433 21.0055088)"
551,236,237,10.26446103430171,Phố Đông Tác,"LINESTRING (105.8328841 21.0059273, 105.8327861 21.005915)"
552,236,213,22.956829695437108,Phố Đông Tác,"LINESTRING (105.8328841 21.0059273, 105.8331048 21.0059141)"
553,236,1238,5.2276532547306855,Ngõ 26 Phố Đông Tác,"LINESTRING (105.8328841 21.0059273, 105.8328853 21.0059743)"
554,237,236,10.26446103430171,Phố Đông Tác,"LINESTRING (105.8327861 21.005915, 105.8328841 21.0059273)"
555,237,411,9.898509771809527,Ngõ 101 Phạm Ngọc Thạch,"LINESTRING (105.8327861 21.005915, 105.8327377 21.0059917)"
556,237,1851,7.937103672225155,Ngõ 41 Phố Đông Tác,"LINESTRING (105.8327861 21.005915, 105.8328076 21.0058465)"
557,237,829,6.990356155148247,Phố Đông Tác,"LINESTRING (105.8327861 21.005915, 105.8327195 21.0059057)"
558,238,3143,20.918992424418636,Ngõ 26 Phố Đông Tác,"LINESTRING (105.8328429 21.0062214, 105.8328795 21.0060364)"
559,238,243,20.98794835203695,Ngõ 26 Phố Đông Tác,"LINESTRING (105.8328429 21.0062214, 105.8328073 21.0064072)"
560,238,239,17.65576456442779,,"LINESTRING (105.8328429 21.0062214, 105.8330106 21.0062479)"
561,239,2885,9.786182083299051,Ngõ 97 Phạm Ngọc Thạch,"LINESTRING (105.8330106 21.0062479, 105.8329944 21.0063346)"
562,239,2888,8.806237445922292,Ngõ 97 Phạm Ngọc Thạch,"LINESTRING (105.8330106 21.0062479, 105.8330926 21.0062682)"
563,239,238,17.65576456442779,,"LINESTRING (105.8330106 21.0062479, 105.8328429 21.0062214)"
564,239,3168,16.934501474117955,,"LINESTRING (105.8330106 21.0062479, 105.833031 21.0060968)"
565,240,2888,7.145084300095625,Ngõ 97 Phạm Ngọc Thạch,"LINESTRING (105.8331488 21.0063053, 105.8330926 21.0062682)"
566,240,3407,3.1426424708162584,Ngõ 97 Phạm Ngọc Thạch,"LINESTRING (105.8331488 21.0063053, 105.8331715 21.006324)"
567,241,3145,11.89309855036256,Ngõ 97 Phố Phạm Ngọc Thạch,"LINESTRING (105.8346466 21.0062955, 105.8345902 21.0063886)"
568,241,1239,20.937934675951137,Ngõ 97 Phố Phạm Ngọc Thạch,"LINESTRING (105.8346466 21.0062955, 105.8347237 21.0061215)"
569,241,1248,81.20364071899407,,"LINESTRING (105.8346466 21.0062955, 105.8352355 21.0067762)"
570,242,245,12.286942484174784,,"LINESTRING (105.8340488 21.0063982, 105.8339929 21.0064956)"
571,242,69,33.579855263219955,,"LINESTRING (105.8340488 21.0063982, 105.8343504 21.0065074)"
572,243,2889,8.261641952336745,Ngõ 26 Đông Tác,"LINESTRING (105.8328073 21.0064072, 105.8327292 21.0063929)"
573,243,244,19.122685735525053,Ngõ 26 Đông Tác,"LINESTRING (105.8328073 21.0064072, 105.8329883 21.0064392)"
574,243,238,20.98794835203695,Ngõ 26 Phố Đông Tác,"LINESTRING (105.8328073 21.0064072, 105.8328429 21.0062214)"
575,244,2885,11.648229536291131,Ngõ 97 Phạm Ngọc Thạch,"LINESTRING (105.8329883 21.0064392, 105.8329944 21.0063346)"
576,244,243,19.122685735525053,Ngõ 26 Đông Tác,"LINESTRING (105.8329883 21.0064392, 105.8328073 21.0064072)"
577,244,2890,5.963869539672501,Ngõ 97 Phạm Ngọc Thạch,"LINESTRING (105.8329883 21.0064392, 105.8330406 21.0064614)"
578,245,242,12.286942484174784,,"LINESTRING (105.8339929 21.0064956, 105.8340488 21.0063982)"
579,245,65,20.075377050175938,Ngõ 97 Phạm Ngọc Thạch,"LINESTRING (105.8339929 21.0064956, 105.8338469 21.0063772)"
580,245,2884,28.920813212650994,Ngõ 97 Phạm Ngọc Thạch,"LINESTRING (105.8339929 21.0064956, 105.8342032 21.0066662)"
581,246,2879,4.239101069688114,Ngõ 97 Phố Phạm Ngọc Thạch,"LINESTRING (105.8344907 21.0064826, 105.834456 21.0064625)"
582,246,3145,14.694606212854032,Ngõ 97 Phố Phạm Ngọc Thạch,"LINESTRING (105.8344907 21.0064826, 105.8345902 21.0063886)"
583,246,3153,19.76795887660932,,"LINESTRING (105.8344907 21.0064826, 105.8346167 21.0066159)"
584,247,1325,41.52211366266733,Ngõ 38 Phương Mai,"LINESTRING (105.8371803 21.006521, 105.8368897 21.0062644)"
585,247,82,42.614540343799305,Ngõ 38 Phương Mai,"LINESTRING (105.8371803 21.006521, 105.8375874 21.0064716)"
586,247,1327,52.420053195371416,Ngõ 5 Hoàng Tích Trí,"LINESTRING (105.8371803 21.006521, 105.836825 21.006856)"
587,248,2878,5.782987461201556,Ngõ 97 Phạm Ngọc Thạch,"LINESTRING (105.8331195 21.0065439, 105.8331412 21.0065918)"
588,248,2890,12.297743178846304,Ngõ 97 Phạm Ngọc Thạch,"LINESTRING (105.8331195 21.0065439, 105.8330406 21.0064614)"
589,249,252,38.44244454234546,Ngõ 97 Phạm Ngọc Thạch,"LINESTRING (105.8331848 21.0067134, 105.8334498 21.0069549)"
590,249,2887,3.900831253974788,Ngõ 97 Phạm Ngọc Thạch,"LINESTRING (105.8331848 21.0067134, 105.8331603 21.0066868)"
591,250,257,63.89764249661472,,"LINESTRING (105.8328028 21.0067958, 105.8332736 21.007166)"
592,251,1248,4.638965265860419,,"LINESTRING (105.8352671 21.0068057, 105.8352355 21.0067762)"
593,251,253,30.937371151725287,Phố Lương Định Của,"LINESTRING (105.8352671 21.0068057, 105.8350694 21.0070139)"
594,251,1180,38.73473372271256,Phố Lương Định Của,"LINESTRING (105.8352671 21.0068057, 105.8355103 21.0065415)"
595,252,3150,2.0500640122280416,Ngõ 97 Phạm Ngọc Thạch,"LINESTRING (105.8334498 21.0069549, 105.8334522 21.0069732)"
596,252,249,38.44244454234546,Ngõ 97 Phạm Ngọc Thạch,"LINESTRING (105.8334498 21.0069549, 105.8331848 21.0067134)"
597,253,1247,3.957962372932293,,"LINESTRING (105.8350694 21.0070139, 105.8350403 21.0069909)"
598,253,55,32.439678040367575,Phố Lương Định Của,"LINESTRING (105.8350694 21.0070139, 105.8348649 21.0072345)"
599,253,251,30.937371151725287,Phố Lương Định Của,"LINESTRING (105.8350694 21.0070139, 105.8352671 21.0068057)"
600,254,3212,30.317999918710225,Ngõ 5 Hoàng Tích Trí,"LINESTRING (105.8364759 21.0069834, 105.8367438 21.0068748)"
601,254,3223,3.225845532260564,Ngõ 5 Hoàng Tích Trí,"LINESTRING (105.8364759 21.0069834, 105.8364517 21.0070016)"
602,255,766,8.195818930602677,Phố Phạm Ngọc Thạch,"LINESTRING (105.83227 21.006983, 105.8323301 21.0070308)"
603,256,992,40.10788002818536,Ngõ 5 Hoàng Tích Trí,"LINESTRING (105.8363268 21.0070954, 105.83606 21.0073563)"
604,256,3223,16.639813576976845,Ngõ 5 Hoàng Tích Trí,"LINESTRING (105.8363268 21.0070954, 105.8364517 21.0070016)"
605,256,171,100.6418928717842,Ngõ 9 Lương Định Của,"LINESTRING (105.8363268 21.0070954, 105.8370409 21.0077076)"
606,256,682,44.52249970355272,Ngõ 9 Lương Định Của,"LINESTRING (105.8363268 21.0070954, 105.8360458 21.0067929)"
607,257,1181,2.1745152116291675,Ngõ 97 Phạm Ngọc Thạch,"LINESTRING (105.8332736 21.007166, 105.8332845 21.0071827)"
608,257,3149,26.091739523537083,Ngõ 97 Phạm Ngọc Thạch,"LINESTRING (105.8332736 21.007166, 105.833442 21.0069918)"
609,257,250,63.89764249661472,,"LINESTRING (105.8332736 21.007166, 105.8328028 21.0067958)"
610,258,1199,47.47699608199412,Ngõ 97 Phạm Ngọc Thạch,"LINESTRING (105.8333397 21.0072298, 105.8330412 21.0075533)"
611,258,1181,7.762873979705289,Ngõ 97 Phạm Ngọc Thạch,"LINESTRING (105.8333397 21.0072298, 105.8332845 21.0071827)"
612,259,1258,4.88112891676847,,"LINESTRING (105.8344311 21.0077067, 105.8344664 21.0077357)"
613,259,749,29.48773724803037,Phố Lương Định Của,"LINESTRING (105.8344311 21.0077067, 105.8342453 21.0079073)"
614,259,74,1.7173781531550447,Phố Lương Định Của,"LINESTRING (105.8344311 21.0077067, 105.8344419 21.007695)"
615,260,837,79.94486690317716,Phố Hoàng Tích Trí,"LINESTRING (105.8354845 21.0077463, 105.8349059 21.0072718)"
616,260,2310,4.305988751673161,,"LINESTRING (105.8354845 21.0077463, 105.8354563 21.0077747)"
617,261,260,7.673127151748031,Phố Hoàng Tích Trí,"LINESTRING (105.8355396 21.0077923, 105.8354845 21.0077463)"
618,261,2311,4.387562418616855,,"LINESTRING (105.8355396 21.0077923, 105.8355079 21.0078184)"
619,262,261,8.726171977499547,Phố Hoàng Tích Trí,"LINESTRING (105.8356008 21.0078461, 105.8355396 21.0077923)"
620,262,2324,3.522821460151058,Ngõ 5 Hoàng Tích Trí,"LINESTRING (105.8356008 21.0078461, 105.8356232 21.0078223)"
621,263,1609,4.811221739688787,,"LINESTRING (105.835332 21.0078999, 105.835288 21.0079135)"
622,263,2310,18.98144259689628,,"LINESTRING (105.835332 21.0078999, 105.8354563 21.0077747)"
623,264,267,83.06601942045452,,"LINESTRING (105.8359207 21.0087322, 105.8365137 21.0092338)"
624,264,131,88.95454638346192,,"LINESTRING (105.8359207 21.0087322, 105.8352788 21.0082022)"
625,264,134,26.032396924069705,Ngõ 43 Phạm Ngọc Thạch,"LINESTRING (105.8359207 21.0087322, 105.8360841 21.0085546)"
626,264,2719,19.689768053544064,Ngõ 43 Phạm Ngọc Thạch,"LINESTRING (105.8359207 21.0087322, 105.8357972 21.0088666)"
627,265,2313,4.255649565997107,Ngõ 21 Phạm Ngọc Thạch,"LINESTRING (105.8369444 21.0089436, 105.8369174 21.0089724)"
628,265,2253,83.55774895197149,Phố Hoàng Tích Trí,"LINESTRING (105.8369444 21.0089436, 105.8363397 21.0084476)"
629,266,134,83.3359131679883,,"LINESTRING (105.8366884 21.009048, 105.8360841 21.0085546)"
630,266,3370,14.588035436143226,Ngõ 21 Phạm Ngọc Thạch,"LINESTRING (105.8366884 21.009048, 105.8368245 21.0090807)"
631,266,267,27.489900793349555,Ngõ 21 Phạm Ngọc Thạch,"LINESTRING (105.8366884 21.009048, 105.8365137 21.0092338)"
632,267,266,27.489900793349555,Ngõ 21 Phạm Ngọc Thạch,"LINESTRING (105.8365137 21.0092338, 105.8366884 21.009048)"
633,267,670,12.532569590495854,Ngõ 21 Phạm Ngọc Thạch,"LINESTRING (105.8365137 21.0092338, 105.8364376 21.0093213)"
634,267,264,83.06601942045452,,"LINESTRING (105.8365137 21.0092338, 105.8359207 21.0087322)"
635,268,269,30.29705942947462,Ngõ 1 Tôn Thất Tùng,"LINESTRING (105.831251 21.0042474, 105.8313097 21.0045143)"
636,268,2153,78.70879819840891,,"LINESTRING (105.831251 21.0042474, 105.8305122 21.0044066)"
637,268,192,102.54841821642982,,"LINESTRING (105.831251 21.0042474, 105.8322107 21.0040287)"
638,269,196,101.34870986399092,,"LINESTRING (105.8313097 21.0045143, 105.8322633 21.0043188)"
639,269,2154,74.3919517380409,,"LINESTRING (105.8313097 21.0045143, 105.830612 21.0046671)"
640,269,270,28.538637112949345,Ngõ 1 Tôn Thất Tùng,"LINESTRING (105.8313097 21.0045143, 105.8313379 21.0047696)"
641,269,268,30.29705942947462,Ngõ 1 Tôn Thất Tùng,"LINESTRING (105.8313097 21.0045143, 105.831251 21.0042474)"
642,270,3466,34.097753089322744,Ngõ 1 Tôn Thất Tùng,"LINESTRING (105.8313379 21.0047696, 105.8313758 21.0050742)"
