osmid,id,y,x,street_count,highway,railway,ref,geometry
2294884818,304,21.0045335,105.8375866,2,,,,POINT (105.8375866 21.0045335)
2294884819,305,21.0044263,105.8375042,2,,,,POINT (105.8375042 21.0044263)
2294884821,306,21.0042813,105.8374486,2,,,,POINT (105.8374486 21.0042813)
2294884822,307,21.0041586,105.8374143,2,,,,POINT (105.8374143 21.0041586)
2294884823,308,21.004081,105.8374143,2,,,,POINT (105.8374143 21.004081)
2294884824,309,21.0037912,105.8375076,3,,,,POINT (105.8375076 21.0037912)
2294885221,310,21.0046395,105.8368619,2,,,,POINT (105.8368619 21.0046395)
2499827513,311,21.0002122,105.8404947,3,,,,POINT (105.8404947 21.0002122)
2499827515,312,20.9998889,105.8400978,2,,,,POINT (105.8400978 20.9998889)
2499827516,313,21.0005761,105.8405152,3,,,,POINT (105.8405152 21.0005761)
2499827547,314,21.0072776,105.8406381,2,,,,POINT (105.8406381 21.0072776)
2499827549,315,21.0075057,105.8408993,2,,,,POINT (105.8408993 21.0075057)
2499827551,316,21.0078489,105.8400025,4,crossing,,,POINT (105.8400025 21.0078489)
3248864259,317,20.9991258,105.839314,2,,,,POINT (105.839314 20.9991258)
3375847710,318,21.0030568,105.8211885,3,,,,POINT (105.8211885 21.0030568)
3375847719,319,21.0034855,105.8209171,2,,,,POINT (105.8209171 21.0034855)
3375847722,320,21.002983,105.8209791,2,,,,POINT (105.8209791 21.002983)
4025085947,321,21.0024545,105.8240705,3,,,,POINT (105.8240705 21.0024545)
4025085948,322,21.0028559,105.8242687,2,,,,POINT (105.8242687 21.0028559)
4025085949,323,21.0030195,105.8243454,2,,,,POINT (105.8243454 21.0030195)
4025085950,324,21.0032326,105.8243869,2,,,,POINT (105.8243869 21.0032326)
4025085951,325,21.0033236,105.8243928,4,,,,POINT (105.8243928 21.0033236)
4025085952,326,21.0034601,105.8245484,2,,,,POINT (105.8245484 21.0034601)
4025085953,327,21.0036347,105.8246704,2,,,,POINT (105.8246704 21.0036347)
4025085954,328,21.0039627,105.8248497,2,,,,POINT (105.8248497 21.0039627)
4025085955,329,21.0041247,105.8249209,3,,,,POINT (105.8249209 21.0041247)
4530855092,330,20.9991448,105.8410633,2,,level_crossing,,POINT (105.8410633 20.9991448)
4530855103,331,21.0040054,105.8383215,3,,,,POINT (105.8383215 21.0040054)
4551916019,332,21.0042129,105.840113,4,,,,POINT (105.840113 21.0042129)
4551916020,333,21.0053382,105.8401652,2,,,,POINT (105.8401652 21.0053382)
4599745013,334,20.9991174,105.8364845,3,,,,POINT (105.8364845 20.9991174)
4599745014,335,20.9993015,105.8349974,2,,,,POINT (105.8349974 20.9993015)
4599745018,336,21.0008036,105.829059,4,,,,POINT (105.829059 21.0008036)
4600899554,337,21.0009223,105.8287164,4,crossing,,,POINT (105.8287164 21.0009223)
4608169674,338,20.999195,105.8360086,3,,,,POINT (105.8360086 20.999195)
4707733229,339,21.0057238,105.8328041,2,crossing,,,POINT (105.8328041 21.0057238)
4707733230,340,21.0055872,105.8327822,2,,,,POINT (105.8327822 21.0055872)
4707733231,341,21.0052901,105.8327148,3,,,,POINT (105.8327148 21.0052901)
4707733232,342,21.0050128,105.8326688,2,,,,POINT (105.8326688 21.0050128)
4707733234,343,21.0043422,105.8325359,2,,,,POINT (105.8325359 21.0043422)
4707733235,344,21.0041615,105.8324956,2,,,,POINT (105.8324956 21.0041615)
4707733236,345,21.0039447,105.8324546,2,,,,POINT (105.8324546 21.0039447)
4707733237,346,21.0036828,105.8324568,2,,,,POINT (105.8324568 21.0036828)
4707733238,347,21.0035398,105.8324796,2,,,,POINT (105.8324796 21.0035398)
4707733239,348,21.0033001,105.832565,2,,,,POINT (105.832565 21.0033001)
4707733240,349,21.0031848,105.8326379,2,,,,POINT (105.8326379 21.0031848)
4707733241,350,21.0030199,105.8327513,2,,,,POINT (105.8327513 21.0030199)
4707733242,351,21.0028039,105.8328875,2,,,,POINT (105.8328875 21.0028039)
4707733243,352,21.0026681,105.8329806,3,,,,POINT (105.8329806 21.0026681)
4707733244,353,21.0025052,105.8331162,2,,,,POINT (105.8331162 21.0025052)
4707733245,354,21.0024163,105.8332182,3,,,,POINT (105.8332182 21.0024163)
4707733248,355,21.0020032,105.833901,2,,,,POINT (105.833901 21.0020032)
4707733250,356,21.001813,105.8342164,2,,,,POINT (105.8342164 21.001813)
4707733251,357,21.0016817,105.8344126,2,,,,POINT (105.8344126 21.0016817)
4707733252,358,21.0016063,105.8344994,2,,,,POINT (105.8344994 21.0016063)
4707733253,359,21.0014814,105.8346135,2,,,,POINT (105.8346135 21.0014814)
4886750669,360,21.0121658,105.8274791,3,,,,POINT (105.8274791 21.0121658)
4886750670,361,21.0122156,105.8273672,2,,,,POINT (105.8273672 21.0122156)
4886750671,362,21.0117875,105.8271175,1,,,,POINT (105.8271175 21.0117875)
5285531239,363,20.9988484,105.8377772,3,,,,POINT (105.8377772 20.9988484)
5285531240,364,20.999553,105.8378157,3,,,,POINT (105.8378157 20.999553)
5285531241,365,20.9995604,105.8376363,3,,,,POINT (105.8376363 20.9995604)
5285531242,366,21.0009428,105.8375658,3,,,,POINT (105.8375658 21.0009428)
5285531249,367,21.0013984,105.8375616,2,,,,POINT (105.8375616 21.0013984)
5360525391,368,21.0022089,105.8353535,1,,,,POINT (105.8353535 21.0022089)
5466219247,369,21.0029287,105.8299304,3,,,,POINT (105.8299304 21.0029287)
5485640480,370,21.0096716,105.8300876,2,,,,POINT (105.8300876 21.0096716)
5485640481,371,21.0090313,105.8297995,2,,,,POINT (105.8297995 21.0090313)
5485640483,372,21.0088774,105.8298192,3,,,,POINT (105.8298192 21.0088774)
5485640484,373,21.0087354,105.82987,2,,,,POINT (105.82987 21.0087354)
5485640485,374,21.0086389,105.8299387,2,,,,POINT (105.8299387 21.0086389)
5485640486,375,21.0085396,105.8300401,2,,,,POINT (105.8300401 21.0085396)
5485640487,376,21.0084638,105.8301349,2,,,,POINT (105.8301349 21.0084638)
5485640488,377,21.0083772,105.8302797,2,,,,POINT (105.8302797 21.0083772)
5485640489,378,21.0083219,105.8304171,2,,,,POINT (105.8304171 21.0083219)
5485640490,379,21.0082051,105.830764,2,,,,POINT (105.830764 21.0082051)
5485640491,380,21.008046,105.8311774,2,,,,POINT (105.8311774 21.008046)
5485640492,381,21.0079348,105.831399,2,,,,POINT (105.831399 21.0079348)
5485640493,382,21.0078445,105.8315288,2,,,,POINT (105.8315288 21.0078445)
5485640494,383,21.0077502,105.8315973,3,,,,POINT (105.8315973 21.0077502)
5485640496,384,21.0070219,105.8320781,3,,,,POINT (105.8320781 21.0070219)
5485640497,385,21.0090692,105.8300628,2,,,,POINT (105.8300628 21.0090692)
5485640498,386,21.0087287,105.8302247,2,,,,POINT (105.8302247 21.0087287)
5485640499,387,21.0085347,105.8305437,2,,,,POINT (105.8305437 21.0085347)
5485640500,388,21.0083232,105.8311378,2,,,,POINT (105.8311378 21.0083232)
5485640501,389,21.0081488,105.8314907,2,,,,POINT (105.8314907 21.0081488)
5485640502,390,21.0079479,105.8317396,2,,,,POINT (105.8317396 21.0079479)
5485640503,391,21.007164,105.8322742,3,,,,POINT (105.8322742 21.007164)
5485640504,392,21.0086185,105.8303815,2,,,,POINT (105.8303815 21.0086185)
5485640505,393,21.0088094,105.830127,2,,,,POINT (105.830127 21.0088094)
5485640506,394,21.0095651,105.8302985,2,,,,POINT (105.8302985 21.0095651)
5485640507,395,21.0084174,105.8308532,2,,,,POINT (105.8308532 21.0084174)
5485640509,396,21.0082426,105.8313169,3,,,,POINT (105.8313169 21.0082426)
5485640510,397,21.0080689,105.8316149,2,,,,POINT (105.8316149 21.0080689)
5485778378,398,21.0061964,105.828121,3,,,,POINT (105.828121 21.0061964)
5485778379,399,21.0068953,105.8266292,3,,,,POINT (105.8266292 21.0068953)
5485779521,400,21.0074179,105.8269103,3,,,,POINT (105.8269103 21.0074179)
5662903997,401,21.0063248,105.8411847,2,,level_crossing,,POINT (105.8411847 21.0063248)
5662903998,402,21.0063215,105.8413094,3,,,,POINT (105.8413094 21.0063215)
5662903999,403,21.0017104,105.839237,3,,,,POINT (105.839237 21.0017104)
5662904000,404,21.0022438,105.8360515,3,,,,POINT (105.8360515 21.0022438)
5662904002,405,21.0042157,105.8395667,3,,,,POINT (105.8395667 21.0042157)
5674267226,406,21.0027729,105.8344746,4,,,,POINT (105.8344746 21.0027729)
5674347099,407,21.0057662,105.8309463,3,,,,POINT (105.8309463 21.0057662)
5674347100,408,21.0058873,105.8309928,2,,,,POINT (105.8309928 21.0058873)
5674347101,409,21.0059896,105.8310399,4,traffic_signals,,,POINT (105.8310399 21.0059896)
5674347102,410,21.0060273,105.8310576,3,,,,POINT (105.8310576 21.0060273)
5674347104,411,21.0059917,105.8327377,4,crossing,,,POINT (105.8327377 21.0059917)
5683715138,412,21.0047772,105.822756,1,,,,POINT (105.822756 21.0047772)
5683715139,413,21.0049273,105.8223585,3,,,,POINT (105.8223585 21.0049273)
5683715140,414,21.0043916,105.8227546,1,,,,POINT (105.8227546 21.0043916)
5683715141,415,21.0041874,105.822385,3,,,,POINT (105.822385 21.0041874)
5683715142,416,21.0042736,105.8223295,2,,,,POINT (105.8223295 21.0042736)
5683715143,417,21.0027599,105.821931,4,,,,POINT (105.821931 21.0027599)
5683715144,418,21.0042484,105.8229364,1,,,,POINT (105.8229364 21.0042484)
5683715147,419,21.0030498,105.8230388,2,,,,POINT (105.8230388 21.0030498)
5683715148,420,21.0031891,105.8231479,3,,,,POINT (105.8231479 21.0031891)
5683715149,421,21.0032773,105.8231717,2,,,,POINT (105.8231717 21.0032773)
5683715150,422,21.0038357,105.8235124,2,,,,POINT (105.8235124 21.0038357)
5683715151,423,21.0046575,105.824006,3,,,,POINT (105.824006 21.0046575)
5683715152,424,21.0056371,105.8226959,4,,,,POINT (105.8226959 21.0056371)
5683715153,425,21.0052687,105.8254724,3,,,,POINT (105.8254724 21.0052687)
5683715154,426,21.0045659,105.8248296,2,,,,POINT (105.8248296 21.0045659)
5683715164,427,21.0057159,105.8245142,2,,,,POINT (105.8245142 21.0057159)
5683715169,428,21.0059446,105.8237418,1,,,,POINT (105.8237418 21.0059446)
5683715171,429,21.0054497,105.8230824,3,,,,POINT (105.8230824 21.0054497)
5683715173,430,21.004905,105.8240766,3,,,,POINT (105.8240766 21.004905)
5683792660,431,21.0059666,105.8304244,1,,,,POINT (105.8304244 21.0059666)
5683792661,432,21.004925,105.8266801,2,,,,POINT (105.8266801 21.004925)
5683792662,433,21.0050786,105.8263459,2,,,,POINT (105.8263459 21.0050786)
5683792663,434,21.0048777,105.8274183,3,,,,POINT (105.8274183 21.0048777)
5683792664,435,21.0051503,105.8267959,3,,,,POINT (105.8267959 21.0051503)
5683792666,436,21.0053106,105.8264588,4,,,,POINT (105.8264588 21.0053106)
5683792668,437,21.0055284,105.8259854,2,,,,POINT (105.8259854 21.0055284)
5683792669,438,21.0049935,105.8280178,3,,,,POINT (105.8280178 21.0049935)
5683792670,439,21.0044292,105.8277127,3,,,,POINT (105.8277127 21.0044292)
5683792671,440,21.0059851,105.8280056,3,,,,POINT (105.8280056 21.0059851)
5683792672,441,21.005736,105.828552,1,,,,POINT (105.828552 21.005736)
5683792674,442,21.0061057,105.8313438,3,,,,POINT (105.8313438 21.0061057)
5683792676,443,21.0062201,105.8312827,4,,,,POINT (105.8312827 21.0062201)
5683792677,444,21.0053625,105.8307904,3,,,,POINT (105.8307904 21.0053625)
5683792678,445,21.0057513,105.8294682,3,,,,POINT (105.8294682 21.0057513)
5683792679,446,21.0037348,105.8302083,3,,,,POINT (105.8302083 21.0037348)
5683792681,447,21.0028685,105.8301832,3,,,,POINT (105.8301832 21.0028685)
5683792682,448,21.0036684,105.830517,3,,,,POINT (105.830517 21.0036684)
5683792683,449,21.0034388,105.8315988,2,,,,POINT (105.8315988 21.0034388)
5683792684,450,21.0026941,105.8309831,4,,,,POINT (105.8309831 21.0026941)
5683792685,451,21.0035506,105.8310651,4,,,,POINT (105.8310651 21.0035506)
5683792688,452,21.0042689,105.829609,2,,,,POINT (105.829609 21.0042689)
5683792689,453,21.0042213,105.8293784,2,,,,POINT (105.8293784 21.0042213)
5683792690,454,21.0043052,105.8291839,2,,,,POINT (105.8291839 21.0043052)
5683792691,455,21.0044442,105.8288956,2,,,,POINT (105.8288956 21.0044442)
5683792692,456,21.0045143,105.8286971,2,,,,POINT (105.8286971 21.0045143)
5683792693,457,21.0044943,105.8283055,2,,,,POINT (105.8283055 21.0044943)
5683792694,458,21.0044242,105.8278871,2,,,,POINT (105.8278871 21.0044242)
5683792695,459,21.0044292,105.8276564,2,,,,POINT (105.8276564 21.0044292)
5683792696,460,21.0045143,105.8275598,4,,,,POINT (105.8275598 21.0045143)
5683792697,461,21.0045071,105.8274316,3,,,,POINT (105.8274316 21.0045071)
5683792698,462,21.0044542,105.8271843,2,,,,POINT (105.8271843 21.0044542)
5683792699,463,21.0040335,105.8257762,2,,,,POINT (105.8257762 21.0040335)
5683835442,464,21.0036289,105.8368689,3,,,,POINT (105.8368689 21.0036289)
5683835443,465,21.0038118,105.8368186,1,,,,POINT (105.8368186 21.0038118)
5683888504,466,21.0053131,105.835493,3,,,,POINT (105.835493 21.0053131)
5683888507,467,21.0052167,105.8320036,3,,,,POINT (105.8320036 21.0052167)
5684247714,468,21.005828,105.8410141,2,,,,POINT (105.8410141 21.005828)
5684247715,469,21.0063309,105.8410428,3,,,,POINT (105.8410428 21.0063309)
5684247716,470,21.0061558,105.8410382,3,,,,POINT (105.8410382 21.0061558)
5684247718,471,21.004196,105.840884,3,,,,POINT (105.840884 21.004196)
5684247720,472,21.0040246,105.8398317,3,,,,POINT (105.8398317 21.0040246)
5684250224,473,21.0042016,105.8392963,4,,,,POINT (105.8392963 21.0042016)
5686426661,474,21.0018255,105.8258343,3,,,,POINT (105.8258343 21.0018255)
5686426663,475,21.0019935,105.8258645,2,,,,POINT (105.8258645 21.0019935)
5686426664,476,21.0024646,105.8258048,3,,,,POINT (105.8258048 21.0024646)
5686426665,477,21.0023281,105.8309376,3,,,,POINT (105.8309376 21.0023281)
5686426667,478,21.0011364,105.8307436,1,,,,POINT (105.8307436 21.0011364)
5686426668,479,21.0002974,105.8307408,3,,,,POINT (105.8307408 21.0002974)
5686426669,480,21.0010749,105.8309567,2,,,,POINT (105.8309567 21.0010749)
5686426671,481,21.0010541,105.8283545,2,,,,POINT (105.8283545 21.0010541)
5686426672,482,21.0024812,105.8300255,2,,,,POINT (105.8300255 21.0024812)
5686426674,483,21.002413,105.8299578,2,,,,POINT (105.8299578 21.002413)
5686426686,484,21.0018748,105.829513,3,,,,POINT (105.829513 21.0018748)
5686426687,485,21.0019252,105.8293489,2,,,,POINT (105.8293489 21.0019252)
5686426688,486,21.0020053,105.8293354,2,,,,POINT (105.8293354 21.0020053)
5686426690,487,21.0019292,105.8295337,3,,,,POINT (105.8295337 21.0019292)
5686426691,488,21.0016724,105.8304449,3,,,,POINT (105.8304449 21.0016724)
5686449761,489,21.0008569,105.8364623,1,,,,POINT (105.8364623 21.0008569)
5686449763,490,21.0008374,105.8361376,1,,,,POINT (105.8361376 21.0008374)
5686449764,491,20.9992445,105.8354992,3,,,,POINT (105.8354992 20.9992445)
5686449765,492,20.999963,105.8352116,1,,,,POINT (105.8352116 20.999963)
5686449768,493,21.0009086,105.8347146,1,,,,POINT (105.8347146 21.0009086)
5686449770,494,21.0026597,105.836061,3,,,,POINT (105.836061 21.0026597)
5686449772,495,21.001952,105.8360484,3,,,,POINT (105.8360484 21.001952)
